Country_Name,Global_Region,Country_ID,Category,Membership
Ecuador,South America,ECU,0,E2020
Republic of Cabo Verde,West Africa,CPV,0,E2020
Mexico,South America,MEX,0,E2020
Belize,South America,BLZ,0,E2020
El Salvador,South America,SLV,0,E2020
Suriname,South America,SUR,0,E2020
Paraguay,South America,PRY,0,E2020
Costa Rica,South America,CRI,0,E2020
Algeria,West Africa,DZA,0,E2020
Saudi Arabia,Asia and Oceania,SAU,0,E2020
Botswana,East Africa,BWA,0,E2020
South Africa,East Africa,ZAF,0,E2020
Eswatini,East Africa,SWZ,0,E2020
Comoros,East Africa,COM,0,E2020
Iran,Asia and Oceania,IRN,0,E2020
China,Asia and Oceania,CHN,0,E2020
Bhutan,Asia and Oceania,BTN,0,E2020
Nepal,Asia and Oceania,NPL,0,E2020
South Korea,Asia and Oceania,KOR,0,E2020
Malaysia,Asia and Oceania,MYS,0,E2020
Angola,East Africa,AGO,1,N
Burundi,East Africa,BDI,1,N
Gambia,West Africa,GMB,1,N
Guinea Bissau,West Africa,GNB,1,N
Kenya,East Africa,KEN,1,N
Malawi,East Africa,MWI,1,N
Papua New Guinea,Asia and Oceania,PNG,1,N
Senegal,West Africa,SEN,1,N
Soloman Islands,Asia and Oceania,SLB,1,N
Tanzania,East Africa,TZA,1,N
Uganda,East Africa,UGA,1,N
Zambia,East Africa,ZMB,1,N
